order_id,user_id,order_date,order_status,total_amount,items_count
O00000,U03785,2024-05-05 00:00:00,pending,160.62,5
O00001,U00070,2024-08-09 00:00:00,cancelled,527.38,5
O00002,U00997,2024-10-06 00:00:00,completed,414.82,7
O00003,U04443,2024-10-03 00:00:00,completed,989.44,1
O00004,U08682,2024-10-29 00:00:00,completed,1116.63,2
O00005,U02222,2024-09-09 00:00:00,refunded,1022.62,6
O00006,U06028,2024-06-15 00:00:00,pending,1140.88,6
O00007,U04140,2024-09-28 00:00:00,completed,1143.55,2
O00008,U02090,2024-09-14 00:00:00,refunded,1721.55,1
O00009,U06110,2024-06-02 00:00:00,completed,1107.51,3
O00010,U08563,2024-04-25 00:00:00,pending,964.95,2
O00011,U09436,2024-03-07 00:00:00,completed,1831.03,2
O00012,U03764,2024-06-05 00:00:00,completed,1643.97,4
O00013,U01045,2024-01-25 00:00:00,refunded,607.94,1
O00014,U08634,2024-02-19 00:00:00,pending,534.99,6
O00015,U05322,2024-10-30 00:00:00,completed,887.56,6
O00016,U00988,2024-05-03 00:00:00,completed,522.65,6
O00017,U07688,2024-08-11 00:00:00,completed,1623.97,4
O00018,U01618,2024-04-22 00:00:00,pending,1801.53,2
O00019,U03983,2024-02-06 00:00:00,refunded,751.21,3
O00020,U02608,2024-03-15 00:00:00,pending,1090.29,7
O00021,U00512,2024-07-11 00:00:00,completed,419.5,2
O00022,U02221,2024-01-05 00:00:00,completed,1553.84,2
O00023,U09726,2024-08-21 00:00:00,completed,77.33,4
O00024,U00092,2024-02-15 00:00:00,completed,643.44,6
O00025,U01350,2024-04-22 00:00:00,completed,1114.57,5
O00026,U06083,2024-03-07 00:00:00,completed,1726.71,2
O00027,U04672,2024-02-27 00:00:00,pending,1774.15,2
O00028,U05936,2024-02-29 00:00:00,cancelled,1846.38,7
O00029,U01803,2024-03-15 00:00:00,cancelled,1652.66,2
O00030,U05784,2024-12-24 00:00:00,completed,1151.59,7
O00031,U04032,2024-03-15 00:00:00,cancelled,1010.63,1
O00032,U09671,2024-02-16 00:00:00,completed,235.14,1
O00033,U03616,2024-04-15 00:00:00,cancelled,214.28,2
O00034,U04592,2024-11-18 00:00:00,completed,364.68,5
O00035,U01784,2024-08-22 00:00:00,completed,625.33,2
O00036,U08224,2024-01-30 00:00:00,cancelled,841.44,2
O00037,U02400,2024-09-24 00:00:00,pending,1486.11,6
O00038,U01153,2024-08-06 00:00:00,completed,1041.7,5
O00039,U09014,2024-03-18 00:00:00,completed,945.28,3
O00040,U08172,2024-11-03 00:00:00,completed,629.33,1
O00041,U08801,2024-07-11 00:00:00,completed,373.6,7
O00042,U03849,2024-05-10 00:00:00,completed,774.32,5
O00043,U00098,2024-11-21 00:00:00,completed,314.4,4
O00044,U08801,2024-05-31 00:00:00,completed,939.48,3
O00045,U01414,2024-05-26 00:00:00,completed,903.16,2
O00046,U00594,2024-06-10 00:00:00,pending,408.5,4
O00047,U01432,2024-01-18 00:00:00,completed,918.51,2
O00048,U05353,2024-05-08 00:00:00,completed,541.38,3
O00049,U00932,2024-11-24 00:00:00,completed,819.14,7
O00050,U05404,2024-06-20 00:00:00,completed,344.98,3
O00051,U05230,2024-11-09 00:00:00,completed,1237.31,4
O00052,U01066,2024-09-28 00:00:00,completed,710.62,1
O00053,U06950,2024-04-02 00:00:00,completed,1966.91,7
O00054,U09699,2024-09-25 00:00:00,cancelled,1636.61,6
O00055,U00392,2024-09-10 00:00:00,completed,386.63,2
O00056,U01349,2024-10-26 00:00:00,cancelled,1583.65,6
O00057,U06817,2024-11-13 00:00:00,completed,67.35,7
O00058,U00960,2024-07-24 00:00:00,completed,1699.95,2
O00059,U04772,2024-03-20 00:00:00,completed,864.99,2
O00060,U09470,2024-11-27 00:00:00,completed,962.21,5
O00061,U07741,2024-03-05 00:00:00,completed,635.07,4
O00062,U08998,2024-08-02 00:00:00,completed,1498.48,7
O00063,U02869,2024-05-16 00:00:00,pending,90.62,5
O00064,U04664,2024-06-12 00:00:00,completed,1534.87,4
O00065,U04434,2024-03-12 00:00:00,completed,1944.83,7
O00066,U02597,2024-07-17 00:00:00,completed,1022.3,2
O00067,U07953,2024-01-14 00:00:00,completed,1217.18,2
O00068,U03293,2024-04-01 00:00:00,completed,1754.36,2
O00069,U07714,2024-03-29 00:00:00,completed,100.94,3
O00070,U09471,2024-06-14 00:00:00,completed,1793.23,1
O00071,U07776,2024-02-26 00:00:00,cancelled,656.38,1
O00072,U07466,2024-03-02 00:00:00,cancelled,1095.75,3
O00073,U01565,2024-11-10 00:00:00,completed,1508.39,7
O00074,U07474,2024-01-04 00:00:00,completed,389.06,7
O00075,U00580,2024-06-09 00:00:00,cancelled,1888.51,3
O00076,U07845,2024-03-09 00:00:00,completed,1885.11,1
O00077,U00328,2024-09-13 00:00:00,cancelled,1875.23,5
O00078,U09859,2024-09-12 00:00:00,completed,242.65,1
O00079,U08563,2024-01-06 00:00:00,completed,1600.83,2
O00080,U04540,2024-04-06 00:00:00,completed,1229.04,4
O00081,U00757,2024-06-19 00:00:00,completed,1273.85,3
O00082,U01194,2024-07-24 00:00:00,completed,192.12,7
O00083,U08507,2024-02-02 00:00:00,completed,1703.43,6
O00084,U08482,2024-04-20 00:00:00,completed,748.98,3
O00085,U04197,2024-04-13 00:00:00,completed,1539.61,7
O00086,U06617,2024-07-28 00:00:00,completed,1099.87,7
O00087,U03599,2024-11-11 00:00:00,completed,1430.59,7
O00088,U00884,2024-11-02 00:00:00,completed,1643.93,1
O00089,U02325,2024-07-18 00:00:00,pending,1482.32,1
O00090,U08952,2024-11-17 00:00:00,pending,1885.16,5
O00091,U09454,2024-08-30 00:00:00,pending,317.35,3
O00092,U03105,2024-10-11 00:00:00,completed,1499.13,6
O00093,U04812,2024-06-08 00:00:00,completed,451.88,5
O00094,U03735,2024-06-15 00:00:00,completed,1713.86,4
O00095,U00026,2024-10-28 00:00:00,cancelled,1711.8,2
O00096,U06796,2024-11-11 00:00:00,cancelled,869.97,1
O00097,U06081,2024-09-18 00:00:00,completed,386.99,2
O00098,U04298,2024-03-28 00:00:00,cancelled,1531.76,7
O00099,U02835,2024-06-19 00:00:00,completed,1946.42,4
O00100,U07038,2024-10-28 00:00:00,pending,1695.46,3
O00101,U02993,2024-11-27 00:00:00,completed,1455.38,1
O00102,U01494,2024-05-17 00:00:00,completed,1406.78,2
O00103,U04874,2024-07-27 00:00:00,completed,614.76,6
