user_id,country,device_type,signup_date,customer_segment
U00001,UAE,Mobile,2024-12-07 00:00:00,New
U00002,Egypt,Mobile,2024-09-14 00:00:00,Returning
U00003,Qatar,Mobile,2024-02-14 00:00:00,VIP
U00004,KSA,Mobile,2024-09-25 00:00:00,New
U00005,UAE,Mobile,2024-11-06 00:00:00,Returning
U00006,UAE,Desktop,2024-06-08 00:00:00,New
U00007,UAE,Mobile,2024-10-04 00:00:00,Returning
U00008,Kuwait,Mobile,2024-12-10 00:00:00,New
U00009,KSA,Desktop,2024-02-24 00:00:00,New
U00010,Qatar,Desktop,2024-05-24 00:00:00,New
U00011,UAE,Desktop,2024-08-22 00:00:00,VIP
U00012,Egypt,Desktop,2024-06-27 00:00:00,Returning
U00013,Oman,Desktop,2024-07-26 00:00:00,New
U00014,UAE,Mobile,2024-05-15 00:00:00,VIP
U00015,UAE,Mobile,2024-12-18 00:00:00,Returning
U00016,UAE,Mobile,2024-10-01 00:00:00,Returning
U00017,UAE,Mobile,2024-11-18 00:00:00,New
U00018,KSA,Mobile,2024-07-01 00:00:00,New
U00019,UAE,Mobile,2024-03-01 00:00:00,Returning
U00020,UAE,Mobile,2024-03-03 00:00:00,New
U00021,KSA,Mobile,2024-12-26 00:00:00,New
U00022,UAE,Mobile,2024-08-02 00:00:00,New
U00023,UAE,Desktop,2024-12-25 00:00:00,New
U00024,UAE,Mobile,2024-05-18 00:00:00,New
U00025,UAE,Desktop,2024-05-13 00:00:00,VIP
U00026,Qatar,Mobile,2024-02-03 00:00:00,New
U00027,UAE,Desktop,2024-07-11 00:00:00,New
U00028,KSA,Desktop,2024-12-20 00:00:00,New
U00029,KSA,Desktop,2024-11-15 00:00:00,Returning
U00030,UAE,Desktop,2024-03-27 00:00:00,Returning
U00031,KSA,Mobile,2024-07-28 00:00:00,Returning
U00032,UAE,Tablet,2024-03-21 00:00:00,New
U00033,UAE,Desktop,2024-11-17 00:00:00,New
U00034,Egypt,Desktop,2024-12-04 00:00:00,Returning
U00035,Egypt,Desktop,2024-07-08 00:00:00,Returning
U00036,Oman,Mobile,2024-12-13 00:00:00,Returning
U00037,UAE,Desktop,2024-08-20 00:00:00,New
U00038,UAE,Mobile,2024-06-17 00:00:00,New
U00039,KSA,Mobile,2024-09-07 00:00:00,New
U00040,UAE,Mobile,2024-06-16 00:00:00,Returning
U00041,UAE,Desktop,2024-08-18 00:00:00,New
U00042,UAE,Mobile,2024-05-29 00:00:00,New
U00043,UAE,Mobile,2024-05-31 00:00:00,New
U00044,Egypt,Mobile,2024-02-07 00:00:00,New
U00045,UAE,Desktop,2024-10-23 00:00:00,New
U00046,KSA,Mobile,2024-10-01 00:00:00,New
U00047,UAE,Mobile,2024-04-14 00:00:00,Returning
U00048,KSA,Mobile,2024-12-13 00:00:00,New
U00049,KSA,Desktop,2024-12-17 00:00:00,New
U00050,UAE,Tablet,2024-03-02 00:00:00,New
U00051,Egypt,Desktop,2024-01-16 00:00:00,New
U00052,Qatar,Mobile,2024-12-15 00:00:00,Returning
U00053,Egypt,Desktop,2024-05-29 00:00:00,New
U00054,Kuwait,Mobile,2024-05-21 00:00:00,Returning
