order_item_id,order_id,product_id,quantity,unit_price
OI000000,O05753,P017,2,129.35
OI000001,O04715,P043,2,168.2
OI000002,O07003,P012,2,77.76
OI000003,O06868,P034,1,409.57
OI000004,O07973,P014,1,385.11
OI000005,O04973,P023,1,48.88
OI000006,O00544,P047,2,57.61
OI000007,O03610,P032,3,332.9
OI000008,O07093,P034,2,409.57
OI000009,O07545,P020,1,314.35
OI000010,O03369,P026,3,72.75
OI000011,O07755,P040,2,49.2
OI000012,O02099,P038,1,452.1
OI000013,O02968,P038,2,452.1
OI000014,O03592,P031,2,338.07
OI000015,O04529,P029,2,236.35
OI000016,O00414,P027,1,289.15
OI000017,O00761,P021,1,138.44
OI000018,O04140,P040,1,49.2
OI000019,O00011,P030,2,307.18
OI000020,O00362,P005,3,87.63
OI000021,O04723,P037,2,33.11
OI000022,O02494,P008,1,250.99
OI000023,O01215,P012,3,77.76
OI000024,O00847,P040,1,49.2
OI000025,O01509,P040,3,49.2
OI000026,O05095,P032,1,332.9
OI000027,O04038,P043,1,168.2
OI000028,O05735,P031,3,338.07
OI000029,O01613,P016,3,181.07
OI000030,O07133,P009,3,385.0
OI000031,O02968,P008,1,250.99
OI000032,O05980,P029,1,236.35
OI000033,O05713,P030,3,307.18
OI000034,O07086,P019,3,379.83
OI000035,O06435,P018,3,411.57
OI000036,O00937,P025,3,113.89
OI000037,O02291,P025,1,113.89
OI000038,O05848,P017,3,129.35
OI000039,O02174,P025,2,113.89
OI000040,O06736,P041,2,27.35
OI000041,O00408,P020,2,314.35
OI000042,O05699,P028,1,195.09
OI000043,O07865,P031,1,338.07
OI000044,O03662,P031,1,338.07
OI000045,O04067,P014,1,385.11
OI000046,O03677,P042,1,412.79
OI000047,O00291,P038,1,452.1
OI000048,O00200,P008,3,250.99
OI000049,O00073,P017,1,129.35
OI000050,O04761,P018,2,411.57
OI000051,O02613,P034,1,409.57
OI000052,O07623,P007,1,367.49
OI000053,O07027,P003,2,118.59
OI000054,O05464,P003,1,118.59
OI000055,O01496,P036,3,175.07
OI000056,O07444,P040,2,49.2
OI000057,O01234,P007,3,367.49
OI000058,O02768,P046,1,434.05
OI000059,O00334,P039,2,463.69
OI000060,O04428,P044,3,459.43
OI000061,O01813,P047,3,57.61
OI000062,O06991,P023,2,48.88
OI000063,O03459,P034,1,409.57
OI000064,O02522,P029,2,236.35
OI000065,O05074,P050,3,134.82
OI000066,O04188,P013,2,393.87
OI000067,O04903,P035,3,460.91
OI000068,O01431,P007,1,367.49
OI000069,O07165,P020,1,314.35
OI000070,O06590,P035,3,460.91
OI000071,O04114,P021,1,138.44
OI000072,O05691,P018,3,411.57
OI000073,O05557,P001,2,434.87
OI000074,O06740,P027,1,289.15
OI000075,O02362,P010,1,256.1
OI000076,O05865,P024,1,46.67
OI000077,O07283,P029,1,236.35
OI000078,O04226,P034,2,409.57
OI000079,O07276,P031,1,338.07
OI000080,O05663,P020,2,314.35
OI000081,O03678,P018,2,411.57
OI000082,O01404,P045,2,127.95
OI000083,O04289,P022,1,106.63
OI000084,O01768,P036,2,175.07
OI000085,O01341,P006,1,150.34
OI000086,O00551,P049,3,487.24
OI000087,O07846,P030,2,307.18
OI000088,O00567,P035,3,460.91
OI000089,O02188,P034,2,409.57
OI000090,O02236,P006,1,150.34
OI000091,O02538,P042,2,412.79
OI000092,O05490,P013,2,393.87
OI000093,O05949,P049,1,487.24
OI000094,O07259,P047,1,57.61
OI000095,O07968,P044,1,459.43
OI000096,O02774,P007,2,367.49
OI000097,O07021,P012,1,77.76
OI000098,O02387,P004,1,32.68
OI000099,O04215,P041,3,27.35
OI000100,O02282,P012,3,77.76
OI000101,O02685,P031,3,338.07
OI000102,O01863,P010,1,256.1
OI000103,O01552,P022,1,106.63
OI000104,O07662,P047,1,57.61
OI000105,O03962,P019,1,379.83
OI000106,O06561,P043,3,168.2
OI000107,O02013,P011,3,288.91
OI000108,O02338,P002,2,108.31
OI000109,O03311,P016,1,181.07
OI000110,O03166,P037,1,33.11
OI000111,O01386,P029,3,236.35
OI000112,O04418,P009,2,385.0
OI000113,O05861,P016,1,181.07
OI000114,O00524,P043,2,168.2
OI000115,O01656,P018,2,411.57
OI000116,O00725,P041,3,27.35
OI000117,O05553,P002,3,108.31
OI000118,O05306,P010,1,256.1
OI000119,O05704,P021,1,138.44
OI000120,O02505,P015,1,171.09
OI000121,O01039,P047,3,57.61
OI000122,O00685,P037,3,33.11
OI000123,O01778,P008,2,250.99
OI000124,O00661,P045,3,127.95
OI000125,O06362,P050,3,134.82
OI000126,O06112,P032,3,332.9
OI000127,O06116,P031,3,338.07
OI000128,O02728,P046,2,434.05
OI000129,O00768,P029,2,236.35
OI000130,O06929,P018,2,411.57
OI000131,O07620,P038,2,452.1
OI000132,O00197,P018,1,411.57
OI000133,O04295,P026,1,72.75
OI000134,O02212,P019,1,379.83
OI000135,O04329,P035,1,460.91
OI000136,O02824,P048,2,148.8
OI000137,O06196,P021,1,138.44
OI000138,O01318,P028,3,195.09
OI000139,O01956,P027,3,289.15
OI000140,O04687,P018,2,411.57
OI000141,O01356,P007,1,367.49
OI000142,O06884,P004,2,32.68
OI000143,O06859,P044,3,459.43
OI000144,O06243,P030,2,307.18
OI000145,O05270,P026,1,72.75
OI000146,O02811,P032,2,332.9
OI000147,O02505,P001,1,434.87
OI000148,O02461,P046,3,434.05
OI000149,O07121,P042,1,412.79
OI000150,O01251,P032,3,332.9
OI000151,O00033,P036,2,175.07
OI000152,O00233,P022,3,106.63
OI000153,O00063,P048,3,148.8
OI000154,O00286,P037,3,33.11
OI000155,O02859,P016,2,181.07
OI000156,O00011,P030,3,307.18
OI000157,O04007,P010,3,256.1
OI000158,O03814,P022,1,106.63
OI000159,O01703,P022,2,106.63
OI000160,O05966,P036,3,175.07
OI000161,O07912,P001,2,434.87
OI000162,O05395,P032,3,332.9
OI000163,O02287,P029,1,236.35
OI000164,O06704,P023,2,48.88
OI000165,O07371,P021,3,138.44
OI000166,O03309,P032,1,332.9
OI000167,O06156,P028,3,195.09
OI000168,O01604,P026,1,72.75
OI000169,O06172,P038,1,452.1
OI000170,O06104,P015,2,171.09
OI000171,O02345,P043,1,168.2
OI000172,O03749,P023,1,48.88
OI000173,O05463,P004,3,32.68
OI000174,O03092,P048,3,148.8
OI000175,O04236,P036,2,175.07
OI000176,O00413,P030,2,307.18
OI000177,O06127,P011,2,288.91
OI000178,O03045,P039,2,463.69
OI000179,O01695,P032,3,332.9
OI000180,O07403,P009,3,385.0
OI000181,O01180,P018,1,411.57
OI000182,O01359,P049,3,487.24
OI000183,O00818,P045,3,127.95
OI000184,O01063,P048,2,148.8
